BRAGADO,['6640']
COLONIA SAN EDUARDO,['6646']
COMODORO PY,['6641']
GENERAL O BRIEN,['6646']
IRALA,['6047']
LA LIMPIA,['6645']
LA MARIA,['6640']
MAXIMO FERNANDEZ,['6645']
MECHA,['6648']
MECHITA,['6648']
OLASCOAGA,['6652']
WARNES,['6637']
ALTAMIRANO,['1986']
BARRIO LA DOLLY,['1980']
BARRIO LAS MANDARINAS,['1980']
BRANDSEN,['1980']
CAMINERA SAMBOROMBON,['7130']
CAMPO LOPE SECO,['1980']
DESVIO KILOMETRO 55,['1981']
DOYHENARD,['1980']
ESTACION GOMEZ,['1918']
GOBERNADOR OBLIGADO,['1981']
GOMEZ,['1983']
GOMEZ  DE LA VEGA,['1983']
JEPPENER,['1986']
KILOMETRO 44,['1980']
KILOMETRO 58,['1981']
KILOMETRO 82,['1980']
LA POSADA,['1980']
OLIDEN,['1972']
SAMBOROMBON,['1980']
ALTO LOS CARDALES,['2816']
ARROYO ALELI,['2805']
ARROYO CARABELITAS,['2805']
ARROYO EL AHOGADO,['2805']
ARROYO LAS CRUCES,['2805']
ARROYO LAS ROSAS,"['1625', '2805']"
ARROYO LOS TIGRES,['2805']
ARROYO ÑACURUTU CHICO,['2805']
ARROYO PESQUERIA,['2805']
ARROYO TAJIBER,['2805']
ARROYO ZANJON,['2805']
BLONDEAU,['2805']
CAMPANA,['2804']
CANAL N ALEM 1A SEC,['2805']
CANAL N ALEM 2A SEC,['2805']
EL FENIX,['2804']
KILOMETRO 88,"['1815', '2804', '7220', '7221']"
LA HORQUETA,"['2805', '7130', '7500']"
LOMAS DEL RIO LUJAN,['2803']
OTAMENDI,['2802']
RUTA 9 KILOMETRO 72,['2804']
ZONA DELTA CAMPANA,['2807']
ALEJANDRO PETION,['1811']
BARRIO 1 DE MAYO,['1814']
CAÑUELAS,['1814']
COLONIA SANTA ROSA,"['1816', '8181']"
ESCUELA AGRICOLA DON BOSCO,['1815']
FRANCISCO CASAL,"['1808', '6230']"
GOBERNADOR UDAONDO,['7221']
INDIA MUERTA,['7114']
KILOMETRO 59,['1814']
LA COSTA,"['1814', '7114']"
LA GARITA,['1814']
LA LEONOR,['1814']
LA NORIA,['1814']
LOS AROMOS,['1816']
MAXIMO PAZ,['1809']
PALMITAS,['7221']
RUTA 205 KILOMETRO 57,['1816']
RUTA 3 KILOMETRO 75 700,['1816']
SANTA ROSA,"['1816', '1867', '7303']"
URIBELARREA,['1815']
VICENTE CASARES,['1808']
VILLA ADRIANA,['1816']
ALMACEN EL DESCANSO,['2752']
ARROYO DE LUNA,['2752']
CAMPO LA ELISA,['2752']
CAPITAN SARMIENTO,['2752']
COLEGIO SAN PABLO,['2752']
LA LUISA,['2753']
ALGARROBO,"['2935', '6531', '8132']"
BELLOCQ,['6535']
CADRET,['6535']
CARLOS CASARES,['6530']
CENTENARIO,['6535']
COLONIA LA ESPERANZA,['6531']
COLONIA MAURICIO,['6531']
COLONIA SANTA MARIA,['6535']
EL CAMOATI,['6537']
EL CARPINCHO,['6537']
ESTANCIA SAN CLAUDIO,['6537']
GOBERNADOR ARIAS,['6531']
HORTENSIA,['6537']
LA DORITA,['6538']
LA SOFIA,['6535']
MAURICIO HIRSCH,['6531']
MOCTEZUMA,['6531']
ODORQUI,['6537']
SAN JUAN DE NELSON,['6530']
SANTA MARIA BELLOQ,['6535']
SANTO TOMAS,['6530']
SANTO TOMAS CHICO,['6538']
SMITH,['6536']
CARLOS TEJEDOR,['6455']
COLONIA SERE,['6459']
CUENCA,['6231']
CURARU,['6451']
DRYSDALE,['6455']
ENCINA,['6077']
ESTEBAN DE LUCA,['6475']
HEREFORD,['6233']
HUSARES,['6455']
INGENIERO BEAUGEY,['6457']
KILOMETRO 386,['6457']
KILOMETRO 393,['6467']
LA HIGUERA,['6475']
LOS CHAÑARES,['6475']
LOS INDIOS,"['2709', '6451']"
MARUCHA,['6451']
NECOL ESTACION FCGM,['6077']
SAN CARLOS,['6451']
SANTA INES,"['6459', '6471']"
TIMOTE,['6457']
TRES ALGARROBOS,['6231']
CARMEN DE ARECO,['6725']
ESTRELLA NACIENTE,['6725']
GOUIN,['6727']
HARAS LOS CARDALES,['2752']
KENNY,['2745']
LA CENTRAL,['6725']
PARADA TATAY,['6725']
RETIRO SAN PABLO,['2752']
SAN ERNESTO,['6725']
TATAY,['6725']
TRES SARGENTOS,['6727']
CANAL 15 CERRO DE LA GLORIA,['7114']
CASTELLI,['7114']
CENTRO GUERRERO,['7114']
CERRO DE LA GLORIA CANAL 15,['7101']
GUERRERO,['7116']
LA CORINA,['7114']
LA CORINCO,['7114']
PARQUE TAILLADE,['7114']
SAN JOSE DE GALI,['7114']
CASTILLA,['6616']
CHACABUCO,['6740']
COLIQUEO,['6743']
CUCHA CUCHA,['6746']
GREGORIO VILLAFAÑE,['6740']
INGENIERO SILVEYRA,['6743']
LA CALIFORNIA ARGENTINA,['6616']
LOS ANGELES,['2741']
MEMBRILLAR,['6748']
O HIGGINS,['6748']
RAWSON,['6734']
SAN PATRICIO,['6734']
VILLAFAÑE,['6740']
ADELA,['7136']
CHASCOMUS,['7130']
COLONIA ESCUELA ARGENTINA,['7136']
COMANDANTE GIRIBONE,['7135']
CUARTEL 6,['7136']
CUARTEL 8,['7135']
DON CIPRIANO,['7135']
EL CARBON,['7135']
EL DESTINO,['7116']
EL EUCALIPTUS,['7130']
EL RINCON,"['7130', '8146']"
ESPARTILLAR,"['1987', '7135', '8171']"
ESTANCIA SAN RAFAEL,['7130']
GANDARA,['7136']
HARAS SAN IGNACIO,['7136']
LA ALAMEDA,['7130']
LA AMALIA,['7130']
LA AMISTAD,['7130']
LA AZOTEA GRANDE,['7130']
LA REFORMA,"['7110', '7130', '7245', '7603']"
LAS BRUSCAS,['7130']
LAS MULAS,['7130']
LEGARISTI,['7130']
LIBRES DEL SUD,['7135']
PEDRO NICOLAS ESCRIBANO,['7135']
SAN RAFAEL,['7130']
VISTA ALEGRE,['7130']
VITEL,['7130']
BENITEZ,['6632']
CAÑADA LA RICA,['6625']
CHIVILCOY,"['6620', '6622']"
EMILIO AYERZA,['6628']
GOROSTIAGA,['6632']
HARAS EL CARMEN,['6627']
HENRY BELL,['6621']
INDACOCHEA,['6623']
LA CARLOTA,['6628']
LA DORMILONA,['6628']
LA RICA,['6623']
PALEMON HUERGO,['6628']
PUENTE BATALLA,['6620']
RAMON BIAUS,['6627']
SAN SEBASTIAN,['6623']
VILLA MOQUEHUA,['6625']
COLON,['2720']
EL ARBOLITO,['2721']
EL PELADO,['2720']
ESTANCIA LAS GAMAS,['2723']
PEARSON,['2711']
SARASA,['2721']
GENERAL GELLY,['2701']
APARICIO,['8158']
CALVO,['8154']
CAMPO LA LIMA,['8150']
CORONEL DORREGO,['8150']
EL PERDIDO EST JOSE GUISASOLA,['8156']
EL ZORRO,['8151']
FARO,['8150']
GIL,['8151']
IRENE,['7507']
KILOMETRO 563,['8151']
LA LUNA,['8150']
LA SIRENA,['8150']
LA SOBERANA,['8154']
LAGUNA SAUCE GRANDE,['8150']
LAS OSCURAS,['8115']
NICOLAS DESCALZI,['8151']
ORIENTE,['7509']
PARAJE LA AURORA,['8158']
SAN RAMON,"['2754', '6424', '8150']"
SAN ROMAN,['8154']
CORONEL FALCON,['8118']
CORONEL PRINGLES,['7530']
DESPEÑADEROS,['7531']
EL CHELFORO,['7530']
EL DIVISORIO,['7531']
EL GAVILAN,['7530']
EL PENSAMIENTO,['7531']
ESTACION CORONEL PRINGLES,['7536']
INDIO RICO,['7501']
KRABBE,['7530']
LA RESERVA,['7536']
LARTIGAU,['7531']
LAS MOSTAZAS,['7530']
PARAJE FRA PAL,['7530']
PILLAHUINCO,['7530']
STEGMANN,['7536']
TEJO GALETA,['7530']
ALMIRANTE SOLIER,['8109']
ARROYO PAREJA,['8111']
BAJO HONDO,['8115']
BALNEARIO PARADA,['8109']
BATERIAS,['8113']
CALDERON,['8101']
DESVIO SANDRINI,['8109']
ISLA CATARELLI,['8111']
LA MARTINA,['8109']
LA VIRGINIA,['8115']
PASO MAYOR,['8115']
PEHUEN CO,['8070']
PUERTO BELGRANO,['8111']
PUERTO ROSALES,['8111']
PUNTA ALTA,['8109']
VILLA DEL MAR,['8071']
VILLA GENERAL ARIAS,['8050']
VILLA LAURA,['8109']
VILLA MAIO,['8109']
BATHURST ESTACION,['7540']
CASCADA,['7547']
CORONEL SUAREZ,['7540']
CURA MALAL,['7548']
D ORBIGNY,['7541']
HUANGUELEN,['7545']
LA PRIMAVERA,"['1921', '7543']"
OMBU,['7545']
OTOÑO,['7545']
PARAJE SANTA ANA,['7540']
PASMAN,['7547']
PUEBLO SAN JOSE,['7541']
PUEBLO SANTA MARIA,['7569']
QUIÑIHUAL ESTACION,['7533']
SANTA TRINIDAD,['7570']
SAUCE CORTO,['7540']
VILLA ARCADIA,['7540']
ZENTENA,['7545']
ZOILO PERALTA,['7530']
ALFALAD,['6555']
ANDANT,['6555']
ARBOLEDA,['6593']
ATAHUALPA,['6471']
CORONEL MARCELINO FREYRE,['6555']
DAIREAUX,['6555']
ENRIQUE LAVALLE,['6467']
LA ARMONIA,['6555']
LA COPETA,['7545']
LA LARGA,['6555']
LA MANUELA,['6439']
LOS COLONIALES,['6555']
LOUGE,['7545']
LURO,['6439']
MASUREL,['6439']
MAURAS,['6555']
MOURAS,['6471']
SALAZAR,['6471']
VILLA ALDEANITA,['6471']
VILLA CAROLA,['6555']
DOLORES,['7100']
EL 60,['7100']
